Client,Industry,Platform,Content_Type,Content_Topic,Posting_Timestamp,Posting_Day,Posting_Hour,Reach,Ad_Spend,Performance_Score
Client_13,Health,YouTube,Case Study,Promo,2026-09-12 14:00:00,Saturday,14,13492,188.98,74
Client_15,E-commerce,YouTube,Blog Post,Promo,2025-10-20 03:00:00,Monday,3,8594,267.02,63
Client_14,SaaS,Instagram,Carousel,Trends,2024-02-05 20:00:00,Monday,20,14693,103.32,79
Client_13,E-commerce,Instagram,Blog Post,Behind the Scenes,2024-08-12 14:00:00,Monday,14,7818,482.68,73
Client_01,Fashion,YouTube,Reel,,2026-06-17 23:00:00,Wednesday,23,13810,371.48,82
Client_08,SaaS,LinkedIn,Case Study,Behind the Scenes,2025-05-13 12:00:00,Tuesday,12,5296,478.61,74
Client_12,Health,YouTube,Carousel,Education,2025-04-15 04:00:00,Tuesday,4,13680,152.03,65
Client_03,SaaS,Instagram,Infographic,Behind the Scenes,2026-07-10 14:00:00,Friday,14,9999999,445.7,70
Client_12,SaaS,LinkedIn,Carousel,Education,2024-09-18 01:00:00,Wednesday,1,14912,413.96,69
Client_08,SaaS,LinkedIn,Infographic,Education,2025-12-03 02:00:00,Wednesday,2,10620,354.72,69
Client_08,Real Estate,LinkedIn,Carousel,,2024-07-03 10:00:00,Wednesday,10,5107,331.26,65
Client_13,SaaS,YouTube,Blog Post,Trends,2026-07-04 02:00:00,Saturday,2,9543,192.45,62
Client_05,E-commerce,LinkedIn,Blog Post,Behind the Scenes,2025-08-23 23:00:00,Saturday,23,2022,417.38,65
Client_13,Fashion,LinkedIn,Blog Post,Education,2025-04-18 11:00:00,Friday,11,7404,275.68,69
Client_12,FinTech,LinkedIn,Reel,Behind the Scenes,2025-10-29 15:00:00,Wednesday,15,13215,81.9,84
Client_13,SaaS,LinkedIn,Infographic,Trends,2024-12-12 18:00:00,Thursday,18,14218,190.79,72
Client_01,Health,YouTube,Blog Post,Trends,2024-03-11 05:00:00,Monday,5,6388,470.88,65
Client_13,SaaS,Instagram,Reel,,2024-02-02 01:00:00,Friday,1,11321,432.81,88
Client_10,Health,LinkedIn,Infographic,Trends,2026-08-30 05:00:00,Sunday,5,7332,491.86,72
Client_07,E-commerce,LinkedIn,Carousel,Customer Success,2024-04-11 09:00:00,Thursday,9,14320,332.6,74
Client_12,Health,YouTube,Reel,Education,2024-08-09 07:00:00,Friday,7,8622,,72
Client_10,FinTech,LinkedIn,Case Study,Promo,2024-07-29 11:00:00,Monday,11,7342,123.27,78
Client_05,Fashion,Facebook,Reel,,2024-09-24 12:00:00,Tuesday,12,2816,134.11,74
Client_08,Health,X,Reel,Behind the Scenes,2026-01-02 00:00:00,Friday,0,12549,58.91,81
Client_09,Health,Instagram,Infographic,Education,2026-05-22 11:00:00,Friday,11,14700,225.81,78
Client_11,Fashion,Instagram,Carousel,Trends,2026-04-03 17:00:00,Friday,17,2624,136.14,69
Client_14,FinTech,LinkedIn,Case Study,Education,2024-09-23 12:00:00,Monday,12,7121,235.24,69
Client_07,SaaS,Instagram,Blog Post,Behind the Scenes,2024-12-27 02:00:00,Friday,2,6923,470.75,75
Client_14,Health,YouTube,Blog Post,Promo,2026-12-05 02:00:00,Saturday,2,4087,243.74,62
Client_13,Fashion,X,Reel,Promo,2026-02-28 06:00:00,Saturday,6,10715,445.09,73
Client_15,E-commerce,Instagram,Infographic,Promo,2026-10-06 17:00:00,Tuesday,17,7172,322.48,80
Client_07,Fashion,Instagram,Infographic,Trends,2026-02-06 23:00:00,Friday,23,2878,161.21,73
Client_01,E-commerce,Instagram,Blog Post,,2024-04-24 11:00:00,Wednesday,11,4874,210.13,74
Client_15,FinTech,YouTube,Case Study,Customer Success,2026-11-30 15:00:00,Monday,15,3019,87.76,73
Client_04,SaaS,LinkedIn,Carousel,Education,2024-01-08 21:00:00,Monday,21,7277,200.06,66
Client_02,Fashion,Instagram,Case Study,Trends,2026-03-07 14:00:00,Saturday,14,9435,354.89,81
Client_02,Real Estate,X,Carousel,Promo,2024-05-05 05:00:00,Sunday,5,7593,82.45,59
Client_02,Health,YouTube,Blog Post,Promo,2026-05-26 18:00:00,Tuesday,18,9918,142.43,61
Client_04,FinTech,Instagram,Carousel,Behind the Scenes,2024-03-20 03:00:00,Wednesday,3,6855,221.65,74
Client_14,Fashion,YouTube,Infographic,,2026-10-01 22:00:00,Thursday,22,6468,491.92,58
Client_01,Health,YouTube,Reel,Promo,2024-02-22 19:00:00,Thursday,19,10583,403.19,76
Client_15,Fashion,LinkedIn,Reel,Promo,2026-01-16 08:00:00,Friday,8,7074,380.07,80
Client_04,E-commerce,Instagram,Blog Post,Trends,2025-04-19 18:00:00,Saturday,18,5572,102.29,73
Client_02,Fashion,Instagram,Infographic,,2024-05-28 04:00:00,Tuesday,4,14824,401.45,76
Client_05,Real Estate,Instagram,Case Study,Behind the Scenes,2024-06-11 02:00:00,Tuesday,2,3757,403.37,81
Client_03,Fashion,Facebook,Infographic,Customer Success,2025-01-03 06:00:00,Friday,6,12480,320.5,67
Client_15,Fashion,X,Reel,Trends,2025-08-27 06:00:00,Wednesday,6,10088,495.66,82
Client_12,Real Estate,Instagram,Reel,Promo,2026-06-26 09:00:00,Friday,9,14911,196.36,91
Client_08,FinTech,Instagram,Infographic,Customer Success,2025-03-18 19:00:00,Tuesday,19,11770,473.57,79
Client_04,Fashion,Instagram,Infographic,Promo,2025-01-01 08:00:00,Wednesday,8,14436,461.63,74
Client_01,Real Estate,Instagram,Reel,Promo,2025-03-15 19:00:00,Saturday,19,5924,55.17,87
Client_01,Health,Facebook,Case Study,,2025-03-03 05:00:00,Monday,5,4737,252.55,71
Client_12,E-commerce,Instagram,Blog Post,Customer Success,2024-12-17 09:00:00,Tuesday,9,5393,489.7,72
Client_10,E-commerce,Instagram,Blog Post,Customer Success,2025-03-02 09:00:00,Sunday,9,14739,96.4,79
Client_03,Fashion,Instagram,Infographic,,2025-04-04 00:00:00,Friday,0,3505,296.5,75
Client_15,FinTech,YouTube,Blog Post,Trends,2026-09-22 17:00:00,Tuesday,17,3516,490.53,64
Client_09,FinTech,LinkedIn,Reel,Education,2024-04-18 20:00:00,Thursday,20,12863,299.97,84
Client_07,Health,YouTube,Reel,Promo,2026-09-03 01:00:00,Thursday,1,12360,135.42,77
